run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_174046,0,2026-01-31T17:40:46+08:00,S2_b90,,34,100,3914,357,1621000,90,0,,ON,0,35.8,42.558,42.558,42.5,37.809,38.464,42.5,42.5,7,5,7,5,46,0,0,0,0,0,0,0,0,38,17,11,7,6,3,1,2,2,1,3,2,1,2,1,2,1,2,3,11,0,0,0,0,0,0,0,0,0,80,13,9,3,4,2,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,1,2026-01-31T17:40:50+08:00,S2_b90,,34,100,3914,357,1621000,90,0,,ON,0,35.8,42.248,42.248,42.248,37.837,38.333,42.248,42.248,12,11,9,11,113,0,0,0,0,0,0,0,0,103,33,25,19,12,5,5,6,2,6,5,5,5,4,4,3,3,3,3,9,0,0,0,0,0,0,0,0,0,225,24,18,7,3,4,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,2,2026-01-31T17:40:53+08:00,S2_b90,,34,100,3914,357,1621000,90,0,,ON,0,35.8,43.462,43.462,43.462,37.829,38.29,43.462,43.462,10,25,12,17,102,0,0,0,0,0,0,0,0,90,33,29,21,18,7,3,8,5,3,4,2,2,2,3,3,2,4,0,20,0,0,0,0,0,0,0,0,0,225,23,14,11,7,8,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,3,2026-01-31T17:40:57+08:00,S2_b90,,34,100,3914,357,1621000,90,0,,ON,0,35.8,41.648,41.648,41.513,37.804,38.232,41.513,41.513,12,13,14,13,100,0,0,0,0,0,0,0,0,101,38,24,22,20,4,4,8,4,6,8,4,6,5,6,2,3,3,2,9,0,0,0,0,0,0,0,0,0,219,27,17,10,7,4,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,4,2026-01-31T17:41:01+08:00,S2_b90,,34,100,3914,357,1621000,90,0,,ON,0,35.8,43.286,43.232,42.982,37.793,38.186,42.982,42.982,10,11,14,11,115,0,0,0,0,0,0,0,0,96,32,27,18,16,4,6,4,3,4,4,4,5,5,3,3,3,3,3,8,0,0,0,0,0,0,0,0,0,239,24,14,3,5,4,0,0,0,0,0,0,0,0,348,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,5,2026-01-31T17:41:04+08:00,S2_b90,,34,100,3914,357,1621000,90,0,,ON,0,35.8,43.262,42.573,42.573,37.787,38.192,42.573,42.573,10,19,11,13,87,0,0,0,0,0,0,0,0,112,37,24,25,18,7,5,4,3,4,5,1,2,1,5,1,1,2,1,6,0,0,0,0,0,0,0,0,0,227,33,20,11,9,7,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,6,2026-01-31T17:41:08+08:00,S2_b90,,34,100,3914,357,1621000,90,0,,ON,0,35.8,41.557,41.473,41.324,37.781,38.183,41.324,41.324,5,17,14,13,90,0,0,0,0,0,0,0,0,108,41,24,24,18,6,3,6,2,3,3,3,2,5,3,1,3,3,2,10,0,0,0,0,0,0,0,0,0,238,29,16,8,7,4,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,7,2026-01-31T17:41:11+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,42.822,42.023,42.023,37.787,38.266,42.023,42.023,11,13,11,15,86,0,0,0,0,0,0,0,0,103,41,30,26,17,3,3,4,3,3,4,3,2,1,2,2,3,4,2,22,0,0,0,0,0,0,0,0,0,227,35,15,6,7,4,0,0,0,0,0,0,0,0,347,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,8,2026-01-31T17:41:15+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,52.677,52.677,52.677,37.795,38.232,52.677,52.677,8,16,17,17,117,0,0,0,0,0,0,0,0,80,33,26,19,19,4,5,5,3,6,4,5,4,4,5,1,3,3,3,22,0,0,0,0,0,0,0,0,0,213,23,12,6,9,8,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_174046,9,2026-01-31T17:41:18+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,42.324,42.324,42.324,37.793,38.189,42.324,42.324,8,17,12,17,86,0,0,0,0,0,0,0,0,97,51,25,23,16,2,5,2,4,3,6,1,3,5,5,4,3,3,2,10,0,0,0,0,0,0,0,0,0,233,31,16,6,7,3,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
