run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_170612,0,2026-01-31T17:06:13+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.3,45.983,45.983,45.983,34.404,34.898,45.983,45.983,5,4,6,6,3,4,4,3,3,0,14,0,0,47,22,14,9,9,6,3,3,2,4,6,2,2,3,3,2,2,2,3,2,2,1,1,6,0,0,0,0,0,73,8,7,1,3,7,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.848,29.848,0.000,195.086,0,56.857,56.857,0.000,369.203,0,105.704,105.704,0.000,695.418,0,192.409,,
20260131_170612,1,2026-01-31T17:06:16+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.3,40.025,40.025,40.025,34.412,34.828,40.025,40.025,10,11,12,17,7,3,3,4,4,4,39,0,0,113,53,29,19,19,1,3,5,1,3,2,5,3,2,2,1,1,1,0,2,1,1,1,14,0,0,0,0,0,242,28,12,6,4,5,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,67.779,67.779,0.000,195.328,0,94.597,94.597,0.000,273.402,0,243.328,243.328,0.000,701.233,0,405.704,-0.000,3.000
20260131_170612,2,2026-01-31T17:06:20+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.3,38.031,38.031,38.031,34.401,34.746,38.031,38.031,15,17,13,19,5,8,9,4,7,4,61,0,0,75,38,29,26,24,3,8,5,4,6,4,6,6,6,3,2,3,4,4,1,1,1,0,5,0,0,0,0,0,227,23,14,7,5,5,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.426,76.426,0.000,215.893,0,97.203,97.203,0.000,275.362,0,245.483,245.483,0.000,695.418,0,419.112,-0.000,4.000
20260131_170612,3,2026-01-31T17:06:23+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.3,39.25,39.25,39.25,34.38,34.746,39.25,39.25,9,21,9,19,8,11,6,3,6,5,67,0,0,84,38,30,20,18,6,4,4,2,4,6,1,2,5,1,1,2,1,1,2,2,2,3,13,0,0,0,0,0,232,21,23,5,7,5,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,77.225,77.225,0.000,218.150,0,102.175,102.175,0.000,287.817,0,247.814,247.814,0.000,704.017,0,427.214,-0.000,3.000
20260131_170612,4,2026-01-31T17:06:27+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.3,39.46,39.46,38.886,34.38,34.77,38.886,38.886,9,10,11,12,6,4,6,2,4,2,83,0,0,91,42,29,22,18,6,6,4,2,7,6,4,8,5,3,3,4,3,2,3,2,1,1,14,0,0,0,0,0,220,19,10,5,8,5,0,0,0,0,0,0,0,0,337,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,77.204,77.204,0.000,219.953,0,110.100,110.100,0.000,313.676,0,253.576,253.576,0.000,726.579,0,440.880,-0.000,4.000
20260131_170612,5,2026-01-31T17:06:30+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.3,44.47,44.47,43.904,34.383,34.737,43.904,43.904,13,9,10,10,6,6,8,5,5,1,65,0,0,112,39,23,15,19,5,3,4,6,6,6,7,4,4,2,2,3,2,2,2,2,3,2,5,0,0,0,0,0,225,19,16,7,6,5,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.046,73.046,0.000,211.115,0,97.897,97.897,0.000,281.312,0,241.310,241.310,0.000,695.418,0,412.252,-0.000,3.000
20260131_170612,6,2026-01-31T17:06:34+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,38.63,38.63,38.63,34.392,34.72,38.63,38.63,4,22,17,10,6,12,7,2,4,5,60,0,0,87,34,31,23,23,3,6,2,1,4,3,2,2,2,2,1,1,1,1,0,1,0,1,7,0,0,0,0,0,258,26,12,7,5,3,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,74.040,74.040,0.000,213.373,0,84.303,84.303,0.000,240.178,0,248.127,248.127,0.000,706.916,0,406.470,-0.000,4.000
20260131_170612,7,2026-01-31T17:06:37+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,38.482,38.482,38.349,34.392,34.746,38.349,38.349,15,18,14,10,5,4,3,5,4,3,54,0,0,100,45,27,26,23,10,4,9,4,5,6,6,6,3,4,1,2,6,2,1,1,2,2,4,0,0,0,0,0,212,24,16,6,6,8,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.620,72.620,0.000,203.990,0,98.091,98.091,0.000,280.261,0,244.787,244.787,0.000,695.418,0,415.499,-0.000,3.000
20260131_170612,8,2026-01-31T17:06:41+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,38.758,38.758,38.758,34.401,34.77,38.653,38.758,9,19,15,18,8,10,4,1,5,3,59,0,0,93,40,26,20,20,6,6,4,3,8,6,5,4,2,2,3,3,3,1,1,0,0,0,8,0,0,0,0,0,235,25,8,5,7,5,0,0,0,0,0,0,0,0,346,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,73.828,73.828,0.000,210.936,0,92.971,92.971,0.000,265.632,0,251.090,251.090,0.000,711.304,0,417.889,-0.000,4.000
20260131_170612,9,2026-01-31T17:06:44+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,39.877,38.972,38.972,34.407,34.778,38.972,38.972,7,10,12,17,5,5,8,6,4,4,46,0,0,111,47,27,19,23,6,4,5,5,7,4,7,3,4,4,3,3,3,2,2,2,1,1,13,0,0,0,0,0,221,21,12,8,5,8,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,70.813,70.813,0.000,201.747,0,107.211,107.211,0.000,302.856,0,247.500,247.500,0.000,701.134,0,425.525,-0.000,3.000
