t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,98,4376,35.1,42.083,90,OFF,1482.7859999999996,,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
0.0,4.0,98,4376,35.1,42.288,90,OFF,1482.7859999999996,129.74,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
4.0,4.0,98,4376,35.1,49.24,90,OFF,1477.7359999999996,125.51,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
8.0,4.0,98,4376,35.1,42.312,90,OFF,1482.447,130.85075,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
12.0,3.0,98,4376,35.1,42.879,90,OFF,1888.272,175.49766666666667,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
15.0,4.0,98,4376,35.2,42.675,90,OFF,1647.49,130.6495,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
19.0,4.0,98,4376,35.2,44.132,90,OFF,1547.688,142.1225,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
23.0,4.0,98,4376,35.2,43.58,90,OFF,2001.699,127.8345,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
27.0,3.0,98,4376,35.2,45.456,90,OFF,1508.3399999999997,173.01,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
30.0,4.0,98,4376,35.2,42.485,90,OFF,2039.389,123.81975,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
34.0,4.0,98,4376,35.2,43.26,90,OFF,1634.38,130.76075,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
38.0,4.0,98,4376,35.2,41.801,90,OFF,1677.312,130.4705,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
42.0,4.0,98,4376,35.2,44.436,90,OFF,1521.456,129.14325,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1,0,,0,0.0
